ID;Longitude;Latitude;kod.pocztowy;creationDate
538;50.946796;17.300300;55-200;27.09.2019
539;51.064680;17.194468;55-002;24.04.2020
540;50.505527;16.733400;57-256;23.12.2019
541;51.202103;16.145872;59-220;19.11.2019
542;51.078693;16.987950;53-149;30.01.2017
543;51.107536;17.123135;51-505;29.10.2020
544;50.847527;15.606681;58-573;23.08.2019
545;51.215393;17.406761;56-400;23.03.2021
546;51.037365;16.968683;55-040;10.03.2021
547;51.096700;16.990650;53-235;13.03.2018
548;51.103832;17.007690;53-603;13.08.2018
549;51.081734;16.989775;53-206;16.10.2020
550;50.808777;16.283180;58-309;22.01.2017
551;50.780040;15.762935;58-540;14.04.2017
552;50.781178;17.067650;57-100;31.05.2017
553;51.100357;17.033447;50-020;14.04.2018
554;51.503147;16.062760;59-100;31.08.2018
555;50.842360;16.485807;58-100;07.12.2018
556;50.772957;16.297853;58-301;27.10.2018
557;51.058700;17.008125;53-034;10.07.2017
558;51.157993;17.131294;51-200;02.12.2020
559;51.160390;17.134905;51-215;05.12.2018
560;50.684944;16.613200;58-260;04.12.2018
561;50.903260;15.742310;58-500;18.06.2020
562;51.119766;15.905689;59-500;16.03.2020
563;51.664630;16.094225;67-200;02.09.2020
564;51.110928;17.029460;50-109;21.05.2020
565;51.111248;17.039497;50-144;25.01.2018
566;51.129310;17.045107;50-304;13.06.2018
567;51.109750;16.967972;54-402;06.08.2019
568;51.095590;16.988644;53-228;20.08.2020
569;51.111588;17.031286;50-113;20.02.2021
570;51.066860;16.990137;53-020;28.07.2019
571;51.112930;17.017347;53-671;24.03.2018
572;51.079120;17.063313;50-512;16.08.2019
573;51.057050;17.032850;52-232;28.08.2017
574;51.125860;17.046234;50-302;21.05.2017
575;51.150127;16.862087;54-018;26.10.2020
576;51.076910;16.997719;53-025;28.11.2017
577;51.107840;17.037617;50-148;15.03.2017
578;51.116170;17.052620;50-351;15.10.2017
579;51.116814;17.067762;50-368;12.06.2017
580;51.113125;17.032944;50-145;28.05.2018
581;51.110577;17.034890;50-139;21.12.2017
582;51.127590;16.976337;54-155;04.03.2018
583;51.146280;17.127783;51-354;04.03.2018
584;51.095480;16.987272;53-228;22.11.2020
585;51.052550;17.054900;52-234;31.05.2020
586;51.155014;17.047281;51-126;27.06.2018
587;51.270584;16.707860;56-120;18.09.2019
588;51.063950;16.975912;52-336;06.04.2020
589;51.146442;17.120989;51-315;05.09.2018
590;51.117466;17.042446;50-265;31.03.2021
591;51.100986;17.048285;50-435;23.04.2017
592;51.118670;17.039928;50-264;07.01.2021
593;51.111874;17.117931;51-503;07.11.2020
594;51.126835;17.049189;50-303;18.12.2018
595;51.124680;16.973276;54-130;11.02.2019
596;51.124140;17.035334;50-232;22.10.2018
597;51.137830;17.074630;51-165;15.06.2018
598;51.101280;17.052525;50-420;17.06.2017
599;51.126724;17.033146;50-227;25.12.2019
600;51.099014;17.038042;50-085;13.06.2019
601;51.120170;17.040080;50-262;11.02.2017
