ID,Longitude,Latitude,kod.pocztowy,creationDate,year,geom,miasto,powiat,woj,dzielnica,sklep
203,51.404095,16.188894,59-300,2019-10-19,2019,"51.404095,16.188894",Lubin,powiat lubiński,województwo dolnośląskie,Stary Lubin,
204,51.403408,16.164644,59-300,2018-04-13,2018,"51.403408,16.164644",Lubin,powiat lubiński,województwo dolnośląskie,,
205,51.38658,16.21711,59-300,2019-06-02,2019,"51.38658,16.21711",Lubin,powiat lubiński,województwo dolnośląskie,,
206,51.40241,16.172773,59-300,2017-04-25,2017,"51.40241,16.172773",Lubin,powiat lubiński,województwo dolnośląskie,,
207,51.38116,16.217339,59-300,2020-02-19,2020,"51.38116,16.217339",Lubin,powiat lubiński,województwo dolnośląskie,,
208,51.389114,16.204683,59-300,2017-02-10,2017,"51.389114,16.204683",Lubin,powiat lubiński,województwo dolnośląskie,,
209,51.1115,15.587862,59-600,2019-04-18,2019,"51.1115,15.587862",Lwówek Śląski,powiat lwówecki,województwo dolnośląskie,,
210,50.581783,16.50129,57-400,2018-09-07,2018,"50.581783,16.50129",Nowa Ruda,powiat kłodzki,województwo dolnośląskie,,
211,50.544376,16.553614,57-402,2017-03-16,2017,"50.544376,16.553614",Nowa Ruda,powiat kłodzki,województwo dolnośląskie,Debry,
212,50.94382,17.27617,55-200,2020-10-11,2020,"50.94382,17.27617",Oława,powiat oławski,województwo dolnośląskie,,
213,50.946285,17.2949,55-200,2020-06-20,2020,"50.946285,17.2949",Oława,powiat oławski,województwo dolnośląskie,,
214,50.95095,17.271988,55-200,2017-06-27,2017,"50.95095,17.271988",Oława,powiat oławski,województwo dolnośląskie,,Żabka
215,50.968643,16.344746,58-150,2019-06-21,2019,"50.968643,16.344746",Strzegom,powiat świdnicki,województwo dolnośląskie,,Kalia
216,50.802086,16.25415,58-310,2017-07-14,2017,"50.802086,16.25415",Szczawno-Zdrój,powiat wałbrzyski,województwo dolnośląskie,,
217,50.841934,16.492483,58-100,2018-03-16,2018,"50.841934,16.492483",Świdnica,powiat świdnicki,województwo dolnośląskie,,
218,50.842503,16.488443,58-100,2020-07-10,2020,"50.842503,16.488443",Świdnica,powiat świdnicki,województwo dolnośląskie,Osiedle Młodych,
219,50.841087,16.508175,58-100,2020-10-04,2020,"50.841087,16.508175",Świdnica,powiat świdnicki,województwo dolnośląskie,Kraszowice,Żabka
220,50.84228,16.4907,58-100,2017-11-19,2017,"50.84228,16.4907",Świdnica,powiat świdnicki,województwo dolnośląskie,,
221,50.840275,16.483398,58-100,2018-07-10,2018,"50.840275,16.483398",Świdnica,powiat świdnicki,województwo dolnośląskie,Kraszowice,
